TeamTeam,GameID,RefID
Magic,218001,3
Raptors,218002,3
Nets,218003,5
76ers,218004,5
Clippers,218005,9
Warriors,218006,9
Spurs,218007,11
Nuggets,218008,11
Pistons,218009,1
Bucks,218010,1
Pacers,218011,7
Celtics,218012,7
Thunder,218013,13
Trail Blazers,218014,13
Jazz,218015,15
Rockets,218016,15
Nets,218017,5
76ers,218018,5
Clippers,218019,9
Warriors,218020,9
Magic,218021,3
Raptors,218022,3
Spurs,218023,11
Nuggets,218024,11
Thunder,218025,13
Trail Blazers,218026,13
Pistons,218027,1
Bucks,218028,1
Pacers,218029,7
Celtics,218030,7
Jazz,218031,15
Rockets,218032,15
Nets,218033,6
76ers,218034,6
Clippers,218035,10
Warriors,218036,10
Spurs,218037,12
Nuggets,218038,12
Magic,218039,4
Raptors,218040,4
Pacers,218041,8
Celtics,218042,8
Thunder,218043,14
Trail Blazers,218044,14
Pistons,218045,2
Bucks,218046,2
Nets,218047,6
76ers,218048,6
Spurs,218049,12
Nuggets,218050,12
Jazz,218051,16
Rockets,218052,16
Magic,218053,4
Raptors,218054,4
Pacers,218055,8
Celtics,218056,8
Clippers,218057,10
Warriors,218058,10
Thunder,218059,14
Trail Blazers,218060,14
Pistons,218061,2
Bucks,218062,2
Jazz,218063,16
Rockets,218064,16
Magic,218065,3
Raptors,218066,3
Nets,218067,5
76ers,218068,5
Spurs,218069,11
Nuggets,218070,11
Thunder,218071,13
Trail Blazers,218072,13
Clippers,218073,9
Warriors,218074,9
Jazz,218075,15
Rockets,218076,15
Spurs,218077,12
Nuggets,218078,12
Clippers,218079,10
Warriors,218080,10
76ers,218081,3
Raptors,218082,3
Spurs,218083,11
Nuggets,218084,11
Celtics,218085,1
Bucks,218086,1
Rockets,218087,9
Warriors,218088,9
76ers,218089,3
Raptors,218090,3
Trail Blazers,218091,11
Nuggets,218092,11
Celtics,218093,1
Bucks,218094,1
Rockets,218095,9
Warriors,218096,9
Trail Blazers,218097,11
Nuggets,218098,11
76ers,218099,5
Raptors,218100,5
Celtics,218101,7
Bucks,218102,7
Trail Blazers,218103,13
Nuggets,218104,13
Rockets,218105,15
Warriors,218106,15
76ers,218107,5
Raptors,218108,5
Trail Blazers,218109,13
Nuggets,218110,13
Celtics,218111,7
Bucks,218112,7
Rockets,218113,15
Warriors,218114,15
76ers,218115,3
Raptors,218116,3
Trail Blazers,218117,11
Nuggets,218118,11
Celtics,218119,1
Bucks,218120,1
Rockets,218121,9
Warriors,218122,9
76ers,218123,5
Raptors,218124,5
Trail Blazers,218125,13
Nuggets,218126,13
Rockets,218127,15
Warriors,218128,15
76ers,218129,3
Raptors,218130,3
Trail Blazers,218131,11
Nuggets,218132,11
Trail Blazers,218133,9
Warriors,218134,9
Raptors,218135,1
Bucks,218136,1
Trail Blazers,218137,9
Warriors,218138,9
Raptors,218139,1
Bucks,218140,1
Trail Blazers,218141,13
Warriors,218142,13
Raptors,218143,3
Bucks,218144,3
Trail Blazers,218145,13
Warriors,218146,13
Raptors,218147,3
Bucks,218148,3
Raptors,218149,1
Bucks,218150,1
Raptors,218151,3
Bucks,218152,3
Warriors,218153,3
Raptors,218154,3
Warriors,218155,3
Raptors,218156,3
Warriors,218157,9
Raptors,218158,9
Warriors,218159,9
Raptors,218160,9
Warriors,218161,3
Raptors,218162,3
Warriors,218163,9
Raptors,218164,9